Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MSFT,Microsoft Corporation,139.29,1.06459E+12,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/msft
AMZN,"Amazon.com, Inc.",1994.49,9.81951E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn
AAPL,Apple Inc.,208.84,9.60889E+11,n/a,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
GOOGL,Alphabet Inc.,1148.05,7.97027E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl
GOOG,Alphabet Inc.,1146.21,7.95749E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
FB,"Facebook, Inc.",202.36,5.77634E+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fb
CSCO,"Cisco Systems, Inc.",57.71,2.47041E+11,n/a,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco
INTC,Intel Corporation,51.75,2.31685E+11,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/intc
CMCSA,Comcast Corporation,44.32,2.01159E+11,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/cmcsa
PEP,"Pepsico, Inc.",130.74,1.82797E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/pep
ADBE,Adobe Inc.,307.88,1.49457E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
PYPL,"PayPal Holdings, Inc.",120.22,1.4125E+11,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/pypl
NFLX,"Netflix, Inc.",307.3,1.34547E+11,n/a,2002,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/nflx
COST,Costco Wholesale Corporation,280.1,1.23185E+11,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/cost
AVGO,Broadcom Inc.,300.78,1.19733E+11,n/a,2009,Technology,Semiconductors,https://www.nasdaq.com/symbol/avgo
TXN,Texas Instruments Incorporated,120.07,1.12722E+11,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/txn
SBUX,Starbucks Corporation,90.11,1.09141E+11,n/a,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/sbux
